date,MG,billed_kWh,kW,total_kWh, Operation_bill 
40328.00,7.56,22215.2,1008,22215.2,29546.22
40329.00,8.49,23088.8,1108.8,23088.8,30708.10
40330.00,8.93,22288,1030.4,22288,29643.04
40331.00,8.88,22540,1019.2,22540,29978.20
40332.00,9.99,23228.8,1052.8,23228.8,30894.30
40333.00,8.74,22534.4,996.8,22534.4,29970.75
40334.00,7.8,21767.2,952,21767.2,28950.38
40335.00,7.43,21145.6,940.8,21145.6,28123.65
40336.00,7.99,20748,1030.4,20748,27594.84
40337.00,7.18,21291.2,985.6,21291.2,28317.30
40338.00,10.49,21655.2,985.6,21655.2,28801.42
40339.00,9.52,23559.2,1041.6,23559.2,31333.74
40340.00,9.88,22304.8,1086.4,22304.8,29665.38
40341.00,12.97,23777.6,1108.8,23777.6,31624.21
40342.00,11.68,21655.2,1064,21655.2,28801.42
40343.00,14.94,24242.4,1433.6,24242.4,32242.39
40344.00,15.06,25743.2,1288,25743.2,34238.46
40345.00,15.69,25048.8,1120,25048.8,33314.90
40346.00,16.09,24449.6,1120,24449.6,32517.97
40347.00,16.53,25390.4,1131.2,25390.4,33769.23
40348.00,17,26336.8,1355.2,26336.8,35027.94
40349.00,16.57,23352,1075.2,23352,31058.16
40350.00,14.86,24438.4,1220.8,24438.4,32503.07
40351.00,14.08,22719.2,1041.6,22719.2,30216.54
40352.00,15.29,24432.8,1142.4,24432.8,32495.62
40353.00,10.5,23256.8,1075.2,23256.8,30931.54
40354.00,7.18,20876.8,963.2,20876.8,27766.14
40355.00,6.75,20260.8,918.4,20260.8,26946.86
40356.00,7.24,19454.4,1153.6,19454.4,25874.35
40357.00,12.23,20932.8,1008,20932.8,27840.62
40358.00,10.32,21408.8,1008,21408.8,28473.70
40359.00,8.41,20680.8,952,20680.8,27505.46
40360.00,7.37,20938.4,974.4,20938.4,27848.07
40361.00,7.23,21722.4,985.6,21722.4,28890.79
40362.00,6.79,21739.2,952,21739.2,28913.14
40363.00,6.57,21414.4,963.2,21414.4,28481.15
40364.00,6.5,20630.4,952,20630.4,27438.43
40365.00,6.81,20944,929.6,20944,27855.52
40366.00,6.34,20731.2,940.8,20731.2,27572.50
40367.00,7,21700,963.2,21700,28861.00
40368.00,7.98,21705.6,1041.6,21705.6,28868.45
40369.00,7.11,21756,974.4,21756,28935.48
40370.00,5.87,20944,940.8,20944,27855.52
40371.00,6.6,21039.2,952,21039.2,27982.14
40372.00,6.86,21240.8,963.2,21240.8,28250.26
40373.00,7.04,21711.2,974.4,21711.2,28875.90
40374.00,7.65,22047.2,1019.2,22047.2,29322.78
40375.00,8.46,22601.6,996.8,22601.6,30060.13
40376.00,7.29,22276.8,974.4,22276.8,29628.14
40377.00,7.31,21408.8,974.4,21408.8,28473.70
40378.00,7.71,21968.8,1030.4,21968.8,29218.50
40379.00,10.2,22187.2,974.4,22187.2,29508.98
40380.00,8.77,22271.2,996.8,22271.2,29620.70
40381.00,8.84,22646.4,1019.2,22646.4,30119.71
40382.00,7.8,22131.2,996.8,22131.2,29434.50
40383.00,7.39,22036,974.4,22036,29307.88
40384.00,7.04,20871.2,985.6,20871.2,27758.70
40385.00,6.88,20977.6,974.4,20977.6,27900.21
40386.00,7.56,20994.4,952,20994.4,27922.55
40387.00,7.68,20904.8,963.2,20904.8,27803.38
40388.00,7.72,22013.6,963.2,22013.6,29278.09
40389.00,7.32,21868,985.6,21868,29084.44
40390.00,7.29,21117.6,940.8,21117.6,28086.41
40391.00,6.56,20720,918.4,20720,27557.60
40392.00,7.23,21408.8,940.8,21408.8,28473.70
40393.00,6.4,21655.2,963.2,21655.2,28801.42
40394.00,7.73,21067.2,952,21067.2,28019.38
40395.00,7.85,22176,985.6,22176,29494.08
40396.00,7.63,21806.4,952,21806.4,29002.51
40397.00,6.87,21442.4,940.8,21442.4,28518.39
40398.00,6.77,20120.8,963.2,20120.8,26760.66
40399.00,7.54,26504.8,1355.2,26504.8,35251.38
40400.00,7.43,30676.8,1366.4,30676.8,40800.14
40401.00,8.26,30884,1388.8,30884,41075.72
40402.00,7.87,31074.4,1355.2,31074.4,41328.95
40403.00,7.89,25552.8,1310.4,25552.8,33985.22
40404.00,7.56,22030.4,963.2,22030.4,29300.43
40405.00,7.56,22002.4,963.2,22002.4,29263.19
40406.00,7.39,22265.6,1008,22265.6,29613.25
40407.00,7.11,22321.6,996.8,22321.6,29687.73
40408.00,6.97,22254.4,985.6,22254.4,29598.35
40409.00,6.98,23811.2,1064,23811.2,31668.90
40410.00,7.23,22713.6,1075.2,22713.6,30209.09
40411.00,8.29,21504,974.4,21504,28600.32
40412.00,7.38,21140,1008,21140,28116.20
40413.00,7.25,21005.6,974.4,21005.6,27937.45
40414.00,7.78,21649.6,963.2,21649.6,28793.97
40415.00,7.37,22512,1008,22512,29940.96
40416.00,7.25,23352,1019.2,23352,31058.16
40417.00,7.18,23592.8,1030.4,23592.8,31378.42
